weighting,model,scenario,rank,region_id,region,distance
equal,ACCESS-CM2,ssp245,16,US_IA_AMES,Ames Iowa,4.363
equal,ACCESS-CM2,ssp245,17,ZA_BETHLEHEM,Bethlehem South Africa,4.422
equal,ACCESS-CM2,ssp245,18,US_IL_CHAMPAIGN,Champaign Illinois,4.432
equal,ACCESS-CM2,ssp245,19,AU_NORTHAM,Northam Australia,4.488
equal,ACCESS-CM2,ssp245,20,UA_KROPYVNYTSKYI,Kropyvnytskyi Ukraine,4.913
equal,ACCESS-CM2,ssp245,21,UA_POLTAVA,Poltava Ukraine,4.97
equal,ACCESS-CM2,ssp245,22,US_ND_FARGO,Fargo North Dakota,5.176
equal,ACCESS-CM2,ssp245,23,BR_LONDRINA,Londrina Brazil,5.266
equal,ACCESS-CM2,ssp245,24,ES_VALLADOLID,Valladolid Spain,5.763
equal,ACCESS-CM2,ssp245,25,BR_PASSOFUNDO,Passo Fundo Brazil,5.951
equal,ACCESS-CM2,ssp245,26,ZA_MALMESBURY,Malmesbury South Africa,5.958
equal,ACCESS-CM2,ssp245,27,TR_KONYA,Konya Turkey,5.994
equal,ACCESS-CM2,ssp245,28,CA_SK_REGINA,Regina Saskatchewan,6.285
equal,ACCESS-CM2,ssp245,29,FR_CHARTRES,Chartres France,6.323
equal,ACCESS-CM2,ssp245,30,KZ_KOSTANAY,Kostanay Kazakhstan,6.514
equal,ACCESS-CM2,ssp585,1,US_OK_ENID,Enid Oklahoma,0.941
equal,ACCESS-CM2,ssp585,2,US_KS_GARDENCITY,Garden City Kansas,1.729
equal,ACCESS-CM2,ssp585,3,US_TX_AMARILLO,Amarillo Texas,1.825
equal,ACCESS-CM2,ssp585,4,AR_MARCOSJUAREZ,Marcos Juarez Argentina,2.435
equal,ACCESS-CM2,ssp585,5,AU_DUBBO,Dubbo Australia,2.756
equal,ACCESS-CM2,ssp585,6,US_TX_WACO,Waco Texas,2.768
equal,ACCESS-CM2,ssp585,7,AR_PERGAMINO,Pergamino Argentina,3.018
equal,ACCESS-CM2,ssp585,8,US_MO_COLUMBIA,Columbia Missouri,3.059
equal,ACCESS-CM2,ssp585,9,US_CO_STERLING,Sterling Colorado,3.249
equal,ACCESS-CM2,ssp585,10,US_NE_HASTINGS,Hastings Nebraska,3.293
equal,ACCESS-CM2,ssp585,11,AU_WAGGA,Wagga Wagga Australia,3.447
equal,ACCESS-CM2,ssp585,12,US_MS_GREENVILLE,Greenville Mississippi,3.458
equal,ACCESS-CM2,ssp585,13,RU_KRASNODAR,Krasnodar Russia,3.568
equal,ACCESS-CM2,ssp585,14,US_IA_AMES,Ames Iowa,4.235
equal,ACCESS-CM2,ssp585,15,AU_HORSHAM,Horsham Australia,4.265
equal,ACCESS-CM2,ssp585,16,RU_STAVROPOL,Stavropol Russia,4.267
equal,ACCESS-CM2,ssp585,17,ZA_BETHLEHEM,Bethlehem South Africa,4.268
equal,ACCESS-CM2,ssp585,18,US_IL_CHAMPAIGN,Champaign Illinois,4.314
equal,ACCESS-CM2,ssp585,19,AU_NORTHAM,Northam Australia,4.609
equal,ACCESS-CM2,ssp585,20,UA_KROPYVNYTSKYI,Kropyvnytskyi Ukraine,4.857
equal,ACCESS-CM2,ssp585,21,UA_POLTAVA,Poltava Ukraine,4.91
equal,ACCESS-CM2,ssp585,22,US_ND_FARGO,Fargo North Dakota,5.082
equal,ACCESS-CM2,ssp585,23,BR_LONDRINA,Londrina Brazil,5.12
equal,ACCESS-CM2,ssp585,24,ES_VALLADOLID,Valladolid Spain,5.785
equal,ACCESS-CM2,ssp585,25,BR_PASSOFUNDO,Passo Fundo Brazil,5.842
equal,ACCESS-CM2,ssp585,26,ZA_MALMESBURY,Malmesbury South Africa,5.996
equal,ACCESS-CM2,ssp585,27,TR_KONYA,Konya Turkey,6.023
equal,ACCESS-CM2,ssp585,28,CA_SK_REGINA,Regina Saskatchewan,6.217
equal,ACCESS-CM2,ssp585,29,FR_CHARTRES,Chartres France,6.25
equal,ACCESS-CM2,ssp585,30,KZ_KOSTANAY,Kostanay Kazakhstan,6.469
equal,MPI-ESM1-2-HR,ssp245,1,US_OK_ENID,Enid Oklahoma,0.644
equal,MPI-ESM1-2-HR,ssp245,2,US_KS_GARDENCITY,Garden City Kansas,1.014
equal,MPI-ESM1-2-HR,ssp245,3,US_TX_AMARILLO,Amarillo Texas,1.029
equal,MPI-ESM1-2-HR,ssp245,4,AU_DUBBO,Dubbo Australia,2.203
equal,MPI-ESM1-2-HR,ssp245,5,AR_MARCOSJUAREZ,Marcos Juarez Argentina,2.465
equal,MPI-ESM1-2-HR,ssp245,6,US_CO_STERLING,Sterling Colorado,2.579
equal,MPI-ESM1-2-HR,ssp245,7,US_TX_WACO,Waco Texas,2.813
equal,MPI-ESM1-2-HR,ssp245,8,AU_WAGGA,Wagga Wagga Australia,2.836
equal,MPI-ESM1-2-HR,ssp245,9,US_NE_HASTINGS,Hastings Nebraska,2.931
equal,MPI-ESM1-2-HR,ssp245,10,AR_PERGAMINO,Pergamino Argentina,2.96
equal,MPI-ESM1-2-HR,ssp245,11,US_MO_COLUMBIA,Columbia Missouri,2.968
equal,MPI-ESM1-2-HR,ssp245,12,RU_KRASNODAR,Krasnodar Russia,3.043
equal,MPI-ESM1-2-HR,ssp245,13,AU_HORSHAM,Horsham Australia,3.57
equal,MPI-ESM1-2-HR,ssp245,14,RU_STAVROPOL,Stavropol Russia,3.651
equal,MPI-ESM1-2-HR,ssp245,15,US_MS_GREENVILLE,Greenville Mississippi,3.757
equal,MPI-ESM1-2-HR,ssp245,16,ZA_BETHLEHEM,Bethlehem South Africa,3.759
equal,MPI-ESM1-2-HR,ssp245,17,US_IA_AMES,Ames Iowa,3.96
